product_name,price,rating,promo,sold,seller,location,link_image
Laptop Gaming Lenovo legion 5 core i7 - 500GB ,Rp13.800.000,no rating,-,-,icornerid,Jakarta Barat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/21/97887c43-dd51-49a7-9df5-d18f3ac2cf3e.jpg
DELL PRECISION 7710 7720 7730 CORE i7 LAPTOP GAMING DESIGN SPEK TINGGI,Rp8.099.000,5.0,-,1 terjual,ajkomputer,Tangerang,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/3/ade8fe3f-6d83-426a-99d7-95425ac1a767.png
Laptop Gaming Dell Precition 7520 Core i7 - 6820HQ Ram 16GB SSD 512GB,Rp5.450.000,5.0,-,1 terjual,Gandi Comp,Bandung,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/24/adbaa485-784f-497a-a539-a602382b5556.jpg
Laptop Desain Gaming Fujitsu Lifebook AH544 Core i7 GEN 4 BERGARANSI,Rp3.000.000,5.0,-,2 terjual,cv. sparta computindo,Jakarta Timur,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/11/c00dd449-9127-4f8f-a2af-22d7188355b3.jpg
Laptop Hp Intel Core i7 gen8 spek gaming,Rp6.250.000,5.0,-,1 terjual,yudi com,Kab. Bekasi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/27/561d2bd0-784f-4ce6-b400-579d11701574.jpg
Asus ROG Strix GL503GE Gaming Laptop i7 w/ 12 Core GDDR5X 1050 Ti,Rp8.999.000,5.0,-,50+ terjual,GanDante's Store,Bandung,https://images.tokopedia.net/img/cache/200-square/product-1/2019/3/25/3431641/3431641_9238b891-dd71-4b52-aa96-0adfa2fce38b_2048_1536.jpg
"Lenovo Legion Slim 7 16IRH8 Gaming Laptop Notebook - Core i7-13700H - 1TB SSD - 16 GB DDR5 - 16"" 3.2K - NVIDIA RTX 4060 - Windows 11 SL + OHS - 3 year warranty + 3 years ADP",Rp25.259.000Rp45.434.000,no rating,Diskon 70rb,1 terjual,Technosify,Surabaya,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/25/0f509c2a-bbcc-46b8-a88e-c8f4ef6a616c.png
MSI SWORD 16 HX B14VFKG 613ID RTX4060 Intel Core i7-14650HX 1TB SSD 16GB RAM Notebook Laptop Gaming,Rp25.399.000,no rating,-,-,Galaxy Solusindo,Malang,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/29/23fcb4a4-e4a5-4e04-b2f3-63257bd4b338.jpg
"Lenovo LOQ 15IRX9 Gaming Laptop Notebook - Core i7-13650HX - 512 GB SSD - 12 GB DDR5 - 15.6"" FHD - NVIDIA RTX 4050 - Windows 11 SL + OHS - 2 year warranty + 2 years ADP",Rp17.549.000Rp25.244.792,no rating,Diskon 70rb,-,Technosify,Surabaya,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/25/c1b08518-952b-40ee-bd1a-1c7ba81ad857.png
MSI SWORD 16 HX B14VGKG 063ID RTX4070 Intel Core i7 14700HX 1TB SSD 16GB RAM Gaming Notebook Laptop,Rp26.499.000,no rating,-,-,Galaxy Solusindo,Malang,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/8/21/7423cc4e-0836-4a26-b605-c78d5d602011.jpg
"LAPTOP ASUS TUF GAMING F16 FX607JU CORE I7 13650HX/16GB/512GB/RTX4050 6GB/16""/W11+OHS",Rp20.800.000,no rating,-,-,heroK,Medan,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/31/9261ef5f-6c83-4bce-b55f-4b71c0e1958e.png
LAPTOP HP GAMING DUAL VGA CORE I7 RAM 16GB SSD 256GB,Rp3.100.000,no rating,-,-,nabil comp,Kab. Jepara,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/5/c8d97623-37b7-4399-b293-5cb09000b3c2.jpg
Laptop Toshiba Gaming Core i7 i5 i3 Dual vga Ram 8 Ssd 256GB Like New,Rp2.300.000,5.0,-,5 terjual,Hgc_Indonesia,Jakarta Pusat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/7/2037e3d7-3e16-403f-b6fa-89566908bf01.jpg
LAPTOP GAMING GIGABYTE AERO 15XV8 CORE I7 16GB 1TB SSD ,Rp11.000.000,no rating,-,-,profindocomputer,Jakarta Pusat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/4/15/1409fa27-a8a8-4f11-b5fb-5172c9aba519.jpg
LENOVO LEGION PRO 5 16IAH7H RHID RTX3070Ti 8GB Intel Core i7-12700H 1TB SSD 16GB RAM Gaming Notebook Laptop,Rp23.900.000,5.0,Cashback 10rb,1 terjual,GASOL LAPTOP,Malang,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/13/6f5977c7-dcb0-4268-8894-b3a27b6639f1.jpg
GAMING ! LAPTOP DELL LATITUDE 3400 Core i7 Gen 8 VGA NVIDIA RAM 32GB,Rp2.700.000,5.0,Cashback 10rb,2 terjual,Sparta_Electronic,Jakarta Barat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/8/8fe3511b-adc5-4703-bb22-b61b291ef51a.jpg
"Laptop MSI Gaming GL62 7QE, Intel Core i7-7700HQ,Ram 8/1TB",Rp7.200.000,5.0,-,1 terjual,dr.com komputer,Jakarta Barat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/30/4c923e9a-08fb-4749-8e1a-da5a5c3705e7.jpg
LAPTOP ASUS GAMING CORE I7 SSD 256GB RAM 16GB DUAL VGA NVDIA GEFORCE 2GB,Rp3.100.000,no rating,-,-,nabil comp,Kab. Jepara,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/8/29e3f199-a8f6-4718-b588-e36de9bfe7ec.jpg
Dell XPS 15 9560 Laptop  Gaming Desain Mewah Core i7 NVIDIA GTX 1050 Ram 32 SSD 512 GB Layar Touchscreen 4K,Rp10.499.000,no rating,-,-,Hanon Laptop,Makassar,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/5/fc40cf13-dd34-43ab-8be9-a5442e2fad5b.jpg
Laptop Gaming Acer Core i7 Gen 7 VGA Nvidia 940MX Ram 8GB SSD 256GB,Rp4.500.000,5.0,-,3 terjual,YOGS COMP,Jakarta Pusat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/1/03404ed4-fb7a-4099-be72-3823096484c9.jpg
Laptop Gaming Desain Grapis MSI Thin 15 B13UCX-1430ID Intel Core i7 ram 32GB Nvidia RTX 2050,Rp11.699.000,5.0,-,4 terjual,BEC Baru,Bandung,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/12/4bd3d713-9a5f-474e-bc8b-a9fdee38792e.jpg
THINKPAD W540 LAPTOP RENDER GAMING DUAL VGA CORE I7 8CPU KEY NUMERIC,Rp3.450.000,5.0,-,9 terjual,Billing Computer,Jakarta Utara,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/11/8e433dde-b2fd-4ffb-a30f-6ceafbca2a64.jpg
Laptop Lenovo gaming Core i7,Rp7.250.000,no rating,-,3 terjual,hologram computer,Jakarta Pusat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/17/e1bbcdc0-9b01-48eb-852f-860ad11fbbcb.jpg
Laptop Dell Gaming Core i7 5500U Dual VGA Ram 8 GB SSD 256GB,Rp4.500.000,5.0,-,4 terjual,YOGS COMP,Jakarta Pusat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/10/bbeebf56-50ca-4a98-9b51-93aa6ed643d8.jpg
Laptop Gaming MSI GF63 Intel Core i7 Ram 16/512gb FHD Nvidia GTX1050Ti,Rp8.800.000,5.0,-,1 terjual,R-07Store,Bandung,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/26/5bbbac9b-d7ab-4b01-bbc6-87f636eb9ad5.jpg
laptop Gaming ASUS VIVOBOOK K413E Core i7 gen11 ram 8gb SSD 512 14inc,Rp11.099.000,no rating,-,1 terjual,UD Part Laptop,Jakarta Timur,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/10/4/c8c82a7a-70e0-483c-8ef6-377c78289e77.jpg
Laptop SIAP GEMPURRR GAMING & RENDERING HARDCORE ASUS ROG ZEPHYRUS GU502GV Frameless Core i7 Gen9  Ram 16 gb Ssd 512 gb 15.6 Inch FULL HD,Rp11.500.000,no rating,-,-,WIMACOM,Jakarta Utara,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/29/f11493bd-6177-400b-ad08-6bfacd79aa70.jpg
Laptop Lenovo Gaming Core i7 VGA Nvidia Ram 8GB SSD 128 GB,Rp2.300.000,5.0,-,3 terjual,YOGS COMP,Jakarta Pusat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/1/1278dd24-1fe4-434a-886f-3e54cca2ebc2.jpg
Laptop Gaming Gigabyte Sabre 15 Core i7 8750H GTX 1050 RAM 16GB,Rp4.999.999,no rating,-,-,Eureka Collection,Kab. Bogor,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/28/4e8ee077-420e-47c9-8cc0-1c95a440fdd0.jpg
Laptop Asus Gaming Core i7 VGA Nvidia Ram 8 GB SSD 256 GB Spesial Game,Rp4.700.000,5.0,-,5 terjual,YOGS COMP,Jakarta Pusat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/8/23/849cf22e-d2de-4ccd-b681-4e5180c4f6a8.jpg
Laptop Dell Inspiron 15 7000 Gaming Intel Core i7-7700HQ 8GB 512GB+1TB,Rp6.550.000,no rating,-,-,StoryLaptop Bandung,Bandung,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/18/1e190393-4a5f-4950-be2a-73612e593a30.jpg
Promo Laptop Gaming Murah HP OMEN Intel Core i7 13620H RTX4050-6GB RAM 64GB DDR5 2TB SSD 144HZ RGB WIN11,Rp16.000.000,no rating,-,1 terjual,Evolutionlaptop,Jakarta Pusat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/28/2497af78-92ce-4b53-b950-1db54ef41038.jpg
Laptop Gaming MSI GL62 Core i7 Ram 16gb Ssd+Hdd Dual VGA Nvidia Siap Pakai Fitur Lengkap COD,Rp7.500.000,5.0,-,2 terjual,MasterLaptopComputer,Tangerang Selatan,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/8/14/4556707e-b3cd-43cc-9ba3-7f43bada2a4f.jpg
Laptop Gaming MSI GL65 Leopard 10SDK-426ID Core i7-10750H Ram 16/512Gb,Rp10.600.000,no rating,-,-,BURSA_LAPTOP_EFEK,Jakarta Barat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/12/2b3d4817-7c48-469c-9909-e5ce4553c176.jpg
Asus Baby ROG X550VX Core i7 VGA Nvidia GTX 950 Laptop Gaming X550V,Rp5.500.000,5.0,-,2 terjual,Tokoplaza Laptop,Depok,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/9/9/37aa1be0-f762-40c5-a99c-84572a4f422d.jpg
Laptop Gaming Dell 3400 Core i7 8565u Ram 32Gb SSD 1 TB Nvidia Mx130,Rp4.950.000,4.0,-,4 terjual,Bintang jaya 96,Jakarta Timur,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/9/e9061d9e-9e23-42a3-8faa-9d8994067c06.jpg
Laptop Gaming Dell G7 7700 Core i7 10750H 16GB 512GB RTX 1660Ti 6GB,Rp24.999.000,5.0,-,1 terjual,Emerick_PC,Jakarta Pusat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/12/10/f007cc7b-bd67-4c34-8512-ba02b31cc1dc.jpg
"Laptop Gaming,Gigabyte P55V5 Core i7-6TH Vga Geforce GTX 960M (8/256) 15""inch",Rp5.500.000,no rating,-,-,CNT Computer,Kab. Deli Serdang,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/14/793ee680-b7a8-4eff-b870-ca512834f402.jpg
LAPTOP GAMING MSI GE72MVR NVIDIA GTX 1070 8192MB DDR 5 INTEL CORE I7-7700HQ RAM 16GB SSD 512GB+1TB HDD WINDOWS 11,Rp8.900.000,no rating,-,-,PGC part laptop,Jakarta Timur,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/21/42d5f2aa-734d-427f-89c7-f0222d81ef0a.jpg
Laptop Gaming MSI GE72 Core i7 Ram 16gb Ssd+Ssd Dual VGA COD,Rp7.700.000,no rating,-,-,MasterLaptopComputer,Tangerang Selatan,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/4/27/3da3d7af-e58c-4561-859d-0e4df85f1f46.jpg
"Laptop MSI Gaming GE62 6QC, Intel Core i7-6700HQ, Ram 8Gb / SSD 256Gb Dualvga Nvdia Geforce GTX 960M + UHD Graphic 530 Keyboard backlight",Rp5.350.000,no rating,-,-,kajoedstore17,Jakarta Barat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/2/4500b7d1-9d20-456a-87b7-bef05b0f182e.jpg
LAPTOP GAMING GIGABYTE AERO 15 CLASSIS-SA CORE I7 GEN 9 16GB 512GB SSD + 1TB SSD ,Rp15.550.000,no rating,-,-,profindocomputer,Jakarta Pusat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/4/15/985c2455-2f41-4753-9bc0-ad7c64352aa4.jpg
LAPTOP GAMING CORE I7 VGA 1GB LAYAR 17 inch RAM 8gb SSD 256GB,Rp4.250.000,5.0,-,1 terjual,nabil comp,Kab. Jepara,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/8/904cd9a6-e2ba-4fa1-b781-282ae0d05289.jpg
"laptop gaming MSi Modern 15 Core i7-1165G7, Nvdia MX450, 15inchi",Rp8.000.000,no rating,-,30+ terjual,Gwshop27,Jakarta Pusat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/23/3fabc55c-f07e-4d82-9184-6149faf0f99e.jpg
"Laptop Gaming Asus ROG Zephyrus M16 Ram 16 GB SSD 1,5 GB Core i7 ",Rp19.400.000,5.0,-,1 terjual,SR MOBILE PHONE,Kab. Sidoarjo,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/26/7c45fdbf-85cd-4b68-b9aa-1534430952f5.jpg
LAPTOP GAMING ACER ASPIRE A515-57G CORE i7 GEN 12 SSD 512GB RAM 16GB NVIDIA MX550 MULUS,Rp9.000.000,no rating,-,-,Jos Parts,Surabaya,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/16/5ed8e11d-8679-40f9-9f3b-93b46eed9dbe.jpg
MSI SWORD 16 HX B14VEKG 246ID RTX4050 Intel Core i7-14700HX 1TB SSD 16GB RAM Notebook Laptop Gaming,Rp21.499.000,no rating,-,-,Galaxy Solusindo,Malang,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/23/ba1aa7e9-d2f7-4b04-b689-099f104f2df2.jpg
"Lenovo Legion Slim 5 16IRH8 Gaming Laptop Notebook RTX4060 - Core i7-13700H - 512 GB SSD - 16 GB DDR5 - 16"" WQXGA - NVIDIA RTX 4060 - Windows 11 SL + OHS - 3 year warranty + 3 years ADP",Rp23.540.000Rp41.097.000,no rating,Diskon 70rb,-,Technosify,Surabaya,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/25/096c28fc-8538-4cb0-b4f1-3071c6203fdf.png
ACER Nitro V15 ANV15-51-74ZW RTX4050 Intel Core i7-13620H 512GB SSD 16GB RAM Gaming Notebook Laptop,Rp16.649.000,no rating,-,-,Galaxy Solusindo,Malang,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/4/68961a05-d005-4ec2-9bf6-b80b916c0a92.jpg
"Lenovo Legion 5 16IRX9 Gaming Laptop Notebook RTX4050 - Core i7-14650HX - 512 GB SSD - 16 GB DDR5 - 16"" WQXGA - NVIDIA RTX 4050 - Windows 11 SL + OHS - 3 year warranty + 3 years ADP",Rp22.708.000Rp40.612.599,no rating,Diskon 70rb,-,Technosify,Surabaya,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/25/845c6e40-c96e-4a51-89ff-5244eaf73958.png
MSI KATANA 17 B13UDXK 1240ID RTX3050 Intel Core i7-13620H 1TB SSD 16GB RAM Notebook Laptop Gaming,Rp16.999.000,no rating,-,-,Galaxy Solusindo,Malang,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/23/0d244aea-27b5-4ccf-93e7-01824dce1742.jpg
